"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-ME  6030,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,MATH,4510,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2731,0,,,
P-ME  6030,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2732,0,,,
P-ME  6040,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,MATH,4510,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2733,0,,,
P-ME  6040,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2734,0,,,
P-ME  6050,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6040,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2735,0,,,
P-ME  6200,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ECE,3210,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2736,0,,,
P-ME  6200,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,4810,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2737,0,,,
P-ME  6210,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3210,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2738,0,,,
P-ME  6210,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2739,0,,,
P-ME  6230,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6200,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2740,0,,,
P-ME  6230,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ECE,6250,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2741,0,,,
P-ME  6260,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6200,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2742,0,,,
P-ME  6260,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ECE,6250,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2743,0,,,
P-ME  6280,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6200,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2744,0,,,
P-ME  6370,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2745,0,,,
P-ME  6370,200880,10/29/2008,Y,3,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2747,0,,,
P-ME  6370,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,MATH,4510,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2746,0,,,
P-ME  6410,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2748,0,,,
P-ME  6410,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2749,0,,,
P-ME  6430,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,MATH,4510,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2750,0,,,
P-ME  6440,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,MATH,4510,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2751,0,,,
P-ME  6510,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3610,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2752,0,,,
P-ME  6510,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,4640,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2753,0,,,
P-ME  6510,200880,10/29/2008,Y,3,Y,N,N,N,Y,A10,300,,ME,4140,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2754,0,,,
P-ME  6610,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2755,0,,,
P-ME  6620,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2756,0,,,
P-ME  6640,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4140,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2757,0,,,
P-ME  6710,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4640,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2758,0,,,
P-ME  6730,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,5060,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2759,0,,,
P-ME  6810,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4460,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2760,0,,,
P-ME  6830,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2761,0,,,
P-ME  6850,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,4810,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2762,0,,,
P-ME  7040,200880,10/29/2008,Y,1,Y,N,N,N,Y,,,,ME,6050,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2763,0,,,
P-ME  7060,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6040,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2764,0,,,
P-ME  7060,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6360,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2765,0,,,
P-ME  7070,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6040,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2766,0,,,
P-ME  7070,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6360,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2767,0,,,
P-ME  7080,200880,10/29/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,6040,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2768,0,,,
P-ME  7080,200880,10/29/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,6360,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,2769,0,,,
