"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-CSC 2011,201210,01/03/2012,Y,1,Y,N,N,N,Y,A10,100,,CSC,2001,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6188,0,,,
P-CSC 2011,201210,01/03/2012 3:56:52 PM,Y,3,Y,N,N,N,Y,A10,210,,BE,121,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6246,0,,,
P-CSC 2020,200880,07/17/2007,Y,1,Y,N,N,N,Y,A10,100,,CSC,2010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,32,0,,,
P-CSC 2020,200880,07/17/2007,Y,2,Y,N,N,N,Y,A10,100,,CSC,2011,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,36,0,,,
P-CSC 2021,200880,07/08/2008,Y,3,Y,N,N,N,Y,A10,100,,CSC,2011,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,38,0,,,
P-CSC 2021,200880,07/08/2008,Y,2,Y,N,N,N,Y,A10,100,,CSC,2010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,37,0,,,
P-CSC 2100,201380,05/21/2013,Y,5,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,8035,0,,,
P-CSC 2110,201380,03/04/2013 1:47:00 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,2100,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,8038,0,,,
P-CSC 2110,201380,03/04/2013,Y,4,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,8025,0,,,
P-CSC 2110,201380,03/04/2013 1:47:00 PM,Y,3,Y,N,N,N,Y,A10,100,,CSC,2101,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,8040,0,,,
P-CSC 2111,201410,02/05/2014,Y,3,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6809,0,,,
P-CSC 2111,201410,02/05/2014 1:35:28 PM,Y,1,Y,N,N,N,Y,A10,100,,CSC,2100,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6801,0,,,
P-CSC 2111,201410,02/05/2014,Y,2,Y,N,N,N,Y,A10,100,,CSC,2101,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,6802,0,,,
P-CSC 2120,200880,07/08/2008,Y,1,Y,N,N,N,Y,A10,100,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,1275,0,,,
P-CSC 2120,200880,07/08/2008,Y,2,Y,N,N,N,Y,A10,100,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,1276,0,,,
P-CSC 2121,200880,07/08/2008,Y,1,Y,N,N,N,Y,A10,100,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,1277,0,,,
P-CSC 2121,200880,07/08/2008,Y,2,Y,N,N,N,Y,A10,100,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,1278,0,,,
P-CSC 2300,200880,07/08/2008,Y,2,Y,N,N,N,Y,A10,100,,CSC,2021,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,40,0,,,
P-CSC 2300,200880,07/17/2007,Y,1,Y,N,N,N,Y,A10,100,,CSC,2020,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,39,0,,,
P-CSC 2300,200880,07/08/2008,Y,3,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,1279,0,,,
P-CSC 2310,201780,02/15/2017,Y,3,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3607,0,,,
P-CSC 2310,201780,02/15/2017,Y,2,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3606,0,,,
P-CSC 2310,201780,02/15/2017,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,3605,0,,,
P-CSC 2400,202180,08/31/2021 3:08:38 PM,Y,7,Y,N,N,N,Y,A20,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15583,1,,,
P-CSC 2400,202180,08/31/2021 3:08:38 PM,Y,2,Y,N,N,N,Y,A20,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15580,1,,,
P-CSC 2400,202180,08/31/2021 3:08:38 PM,Y,4,Y,N,N,N,Y,A10,100,,MATH,1920,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,15581,1,,,
P-CSC 2400,202180,08/31/2021 3:08:38 PM,Y,6,Y,N,N,N,Y,A20,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,15582,1,,,
P-CSC 2500,201780,02/15/2017,Y,2,Y,N,N,N,Y,A10,200,,CSC,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3611,0,,,
P-CSC 2500,201780,02/15/2017,Y,3,Y,N,N,N,Y,A10,200,,CSC,2111,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3612,0,,,
P-CSC 2500,201780,03/07/2017,Y,4,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,Y,3613,0,,,
P-CSC 2510,202180,03/04/2021 9:07:05 AM,Y,1,Y,N,N,N,Y,A10,100,,CSC,1310,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14108,0,,,
